"Gene","Driving_Comparison","LFC"
"ENSRNOG00000007756","THC_O3_vs_VEH",-0.484512488535985
"ENSRNOG00000007766","THC_O3_vs_VEH",-0.566600522236383
"ENSRNOG00000007784","THC_O3_vs_VEH",-0.871943524500108
"ENSRNOG00000007792","THC_O3_vs_VEH",0.694150599298058
"ENSRNOG00000007806","THC_O3_vs_VEH",-0.687824785685913
"ENSRNOG00000007827","THC_O3_vs_VEH",-0.710858129559571
"ENSRNOG00000007831","THC_O3_vs_VEH",0.28950353763158
"ENSRNOG00000007842","THC_O3_vs_VEH",-0.5173728207517
"ENSRNOG00000007845","THC_O3_vs_VEH",-0.634885718834081
"ENSRNOG00000007849","THC_O3_vs_VEH",-0.794757590654516
"ENSRNOG00000007883","THC_O3_vs_VEH",-0.591572163112793
"ENSRNOG00000007900","THC_O3_vs_VEH",-1.11121010930661
"ENSRNOG00000007916","VEH_O3_vs_VEH",0.598198572766043
"ENSRNOG00000007920","THC_O3_vs_VEH",-0.49333092216323
"ENSRNOG00000007956","THC_O3_vs_VEH",1.06896092837767
"ENSRNOG00000007964","THC_O3_vs_VEH",1.31136600505877
"ENSRNOG00000007975","THC_O3_vs_VEH",1.3591011796358
